comp-char	common-char	comp-code	common-code	level	flag
⾄	至	U+2F84	U+81F3	#	
⾅	臼	U+2F85	U+81FC	#	
⾆	舌	U+2F86	U+820C	#	
⾇	舛	U+2F87	U+821B	#	
⾈	舟	U+2F88	U+821F	#	
⾉	艮	U+2F89	U+826E	#	
⾊	色	U+2F8A	U+8272	#	
⾋	艸	U+2F8B	U+8278	#	
⾌	虍	U+2F8C	U+864D	#	
⾍	虫	U+2F8D	U+866B	#	
⾎	血	U+2F8E	U+8840	#	
⾏	行	U+2F8F	U+884C	#	
⾐	衣	U+2F90	U+8863	#	
⾑	襾	U+2F91	U+897E	#	
⾒	見	U+2F92	U+898B	#	
⾓	角	U+2F93	U+89D2	#	
⾔	言	U+2F94	U+8A00	#	
⾕	谷	U+2F95	U+8C37	#	
⾖	豆	U+2F96	U+8C46	#	
⾗	豕	U+2F97	U+8C55	#	
⾘	豸	U+2F98	U+8C78	#	
⾙	貝	U+2F99	U+8C9D	#	
